<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
BZ;1;20240213;034500;82.08;82.08;82.08;82.08;4
BZ;1;20240213;034600;82.08;82.08;82.08;82.08;4
BZ;1;20240213;034700;82.08;82.08;82.08;82.08;4
BZ;1;20240213;034800;82.08;82.08;82.08;82.08;4
BZ;1;20240213;034900;82.08;82.08;82.08;82.08;4
BZ;1;20240213;035000;82.08;82.08;82.08;82.08;4
BZ;1;20240213;035100;82.08;82.08;82.08;82.08;4
BZ;1;20240213;035200;82.08;82.08;82.08;82.08;4
BZ;1;20240213;035300;82.08;82.08;82.08;82.08;4
BZ;1;20240213;035400;82.08;82.08;82.08;82.08;4
BZ;1;20240213;035500;82.08;82.08;82.08;82.08;4
BZ;1;20240213;035600;82.08;82.08;82.08;82.08;4
BZ;1;20240213;035700;82.08;82.08;82.08;82.08;4
BZ;1;20240213;035800;82.08;82.08;82.08;82.08;4
BZ;1;20240213;035900;82.08;82.08;82.08;82.08;4
BZ;1;20240213;040000;82.08;82.08;81.99;81.99;62
BZ;1;20240213;040100;81.99;82.02;81.97;81.98;150
BZ;1;20240213;040200;81.97;81.99;81.97;81.99;14
BZ;1;20240213;040300;81.99;82.01;81.99;82;15
BZ;1;20240213;040400;82;82;81.99;81.99;6
BZ;1;20240213;040500;82;82;82;82;1
BZ;1;20240213;040600;82;82.01;82;82;37
BZ;1;20240213;040700;81.99;81.99;81.99;81.99;1
BZ;1;20240213;040800;81.99;81.99;81.98;81.98;9
BZ;1;20240213;040900;81.98;81.98;81.98;81.98;14
BZ;1;20240213;041000;81.98;81.98;81.98;81.98;1
BZ;1;20240213;041100;81.98;81.98;81.98;81.98;12
BZ;1;20240213;041200;81.99;81.99;81.98;81.99;4
BZ;1;20240213;041300;81.98;81.99;81.98;81.99;13
BZ;1;20240213;041400;81.99;81.99;81.97;81.98;10
BZ;1;20240213;041500;81.99;81.99;81.98;81.98;16
BZ;1;20240213;041600;81.98;81.98;81.97;81.98;3
BZ;1;20240213;041700;81.97;81.97;81.96;81.96;3
BZ;1;20240213;041900;81.96;81.96;81.96;81.96;7
BZ;1;20240213;042000;81.96;81.97;81.96;81.97;10
BZ;1;20240213;042100;81.97;81.97;81.97;81.97;2
BZ;1;20240213;042200;81.97;81.97;81.97;81.97;2
BZ;1;20240213;042300;81.98;81.99;81.98;81.99;35
BZ;1;20240213;042400;82;82;81.99;81.99;8
BZ;1;20240213;042500;81.99;81.99;81.99;81.99;2
BZ;1;20240213;042600;81.99;81.99;81.99;81.99;1
BZ;1;20240213;042800;82;82.01;81.99;82;26
BZ;1;20240213;042900;82;82;82;82;2
BZ;1;20240213;043000;82.01;82.02;82.01;82.02;5
BZ;1;20240213;043100;82.02;82.02;82.01;82.01;11
BZ;1;20240213;043200;82.01;82.01;82.01;82.01;6
BZ;1;20240213;043300;82.01;82.01;82.01;82.01;10
BZ;1;20240213;043400;82.01;82.01;82.01;82.01;2
BZ;1;20240213;043500;82.02;82.05;82.02;82.05;44
BZ;1;20240213;043600;82.05;82.05;82.04;82.04;19
BZ;1;20240213;043700;82.05;82.05;82.05;82.05;11
BZ;1;20240213;043800;82.04;82.04;82.03;82.03;8
BZ;1;20240213;043900;82.04;82.04;82.03;82.03;15
BZ;1;20240213;044000;82.02;82.04;82.02;82.04;10
BZ;1;20240213;044100;82.03;82.04;82.03;82.04;16
BZ;1;20240213;044200;82.04;82.04;82.04;82.04;1
BZ;1;20240213;044300;82.04;82.04;82.04;82.04;2
BZ;1;20240213;044400;82.05;82.05;82.05;82.05;2
BZ;1;20240213;044500;82.05;82.05;82.05;82.05;1
BZ;1;20240213;044700;82.05;82.05;82.05;82.05;1
BZ;1;20240213;044800;82.05;82.05;82.03;82.03;20
BZ;1;20240213;044900;82.04;82.05;82.04;82.05;17
BZ;1;20240213;045000;82.05;82.05;82.05;82.05;2
BZ;1;20240213;045100;82.06;82.07;82.06;82.06;46
BZ;1;20240213;045300;82.05;82.05;82.04;82.04;19
BZ;1;20240213;045400;82.03;82.04;82.03;82.04;11
BZ;1;20240213;045500;82.05;82.05;82.04;82.05;15
BZ;1;20240213;045600;82.06;82.06;82.06;82.06;1
BZ;1;20240213;045800;82.06;82.06;82.04;82.06;31
BZ;1;20240213;045900;82.05;82.05;82.05;82.05;6
BZ;1;20240213;050000;82.05;82.05;82.05;82.05;1
BZ;1;20240213;050200;82.05;82.05;82.04;82.04;4
BZ;1;20240213;050400;82.04;82.04;82.04;82.04;3
BZ;1;20240213;050500;82.04;82.04;81.99;82;48
BZ;1;20240213;050600;82.01;82.02;82.01;82.02;8
BZ;1;20240213;050700;82.02;82.02;82.02;82.02;1
BZ;1;20240213;050900;82.01;82.01;82.01;82.01;1
BZ;1;20240213;051300;82.01;82.01;81.99;81.99;14
BZ;1;20240213;051400;82;82.02;82;82.02;50
BZ;1;20240213;051500;82.02;82.03;82.02;82.03;11
BZ;1;20240213;051600;82.03;82.03;82.03;82.03;1
BZ;1;20240213;051700;82.03;82.03;82.03;82.03;8
BZ;1;20240213;051800;82.04;82.04;82.04;82.04;5
BZ;1;20240213;051900;82.04;82.04;82.04;82.04;1
BZ;1;20240213;052000;82.05;82.05;82.04;82.04;10
BZ;1;20240213;052100;82.05;82.05;82.04;82.04;16
BZ;1;20240213;052200;82.04;82.04;82.04;82.04;1
BZ;1;20240213;052300;82.04;82.04;82.03;82.03;4
BZ;1;20240213;052500;82.03;82.03;82.03;82.03;14
BZ;1;20240213;052600;82.03;82.03;82.03;82.03;16
BZ;1;20240213;052700;82.02;82.02;82.02;82.02;8
BZ;1;20240213;052800;82.01;82.02;82.01;82.02;2
BZ;1;20240213;052900;82.01;82.02;82.01;82.02;3
BZ;1;20240213;053000;82.02;82.02;82.01;82.01;6
BZ;1;20240213;053100;82.03;82.04;82.03;82.04;10
BZ;1;20240213;053200;82.05;82.05;82.03;82.03;15
BZ;1;20240213;053300;82.03;82.04;82.03;82.04;2
BZ;1;20240213;053400;82.04;82.04;82.04;82.04;9
BZ;1;20240213;053500;82.04;82.04;82.04;82.04;2
BZ;1;20240213;053600;82.04;82.04;82.04;82.04;2
BZ;1;20240213;053800;82.05;82.06;82.05;82.06;7
BZ;1;20240213;053900;82.06;82.06;82.06;82.06;2
BZ;1;20240213;054000;82.07;82.07;82.07;82.07;5
BZ;1;20240213;054400;82.07;82.07;82.07;82.07;1
BZ;1;20240213;054500;82.07;82.09;82.07;82.08;140
BZ;1;20240213;054600;82.09;82.09;82.09;82.09;13
BZ;1;20240213;054700;82.1;82.12;82.1;82.11;40
BZ;1;20240213;054800;82.1;82.1;82.1;82.1;2
BZ;1;20240213;054900;82.1;82.1;82.1;82.1;5
BZ;1;20240213;055000;82.09;82.09;82.09;82.09;5
BZ;1;20240213;055100;82.09;82.09;82.08;82.08;5
BZ;1;20240213;055200;82.08;82.08;82.08;82.08;1
BZ;1;20240213;055400;82.07;82.07;82.07;82.07;1
BZ;1;20240213;055500;82.08;82.08;82.08;82.08;2
BZ;1;20240213;055600;82.09;82.09;82.09;82.09;3
BZ;1;20240213;055700;82.1;82.1;82.09;82.09;4
BZ;1;20240213;055800;82.09;82.1;82.09;82.09;9
BZ;1;20240213;060000;82.1;82.1;82.1;82.1;2
BZ;1;20240213;060200;82.1;82.1;82.09;82.1;14
BZ;1;20240213;060300;82.11;82.12;82.11;82.12;12
BZ;1;20240213;060400;82.11;82.12;82.11;82.12;3
BZ;1;20240213;060500;82.12;82.12;82.12;82.12;7
BZ;1;20240213;060600;82.12;82.13;82.11;82.13;19
BZ;1;20240213;060700;82.12;82.12;82.11;82.11;52
BZ;1;20240213;060800;82.1;82.11;82.05;82.07;297
BZ;1;20240213;060900;82.06;82.06;82.06;82.06;1
BZ;1;20240213;061000;82.06;82.06;82.06;82.06;1
BZ;1;20240213;061100;82.06;82.06;82.06;82.06;1
BZ;1;20240213;061200;82.06;82.07;82.06;82.07;7
BZ;1;20240213;061300;82.07;82.07;82.06;82.06;2
BZ;1;20240213;061400;82.05;82.05;82.05;82.05;1
BZ;1;20240213;061500;82.05;82.05;82.05;82.05;1
BZ;1;20240213;061600;82.05;82.06;82.04;82.06;14
BZ;1;20240213;061700;82.07;82.07;82.07;82.07;9
BZ;1;20240213;061800;82.07;82.07;82.07;82.07;1
BZ;1;20240213;061900;82.07;82.07;82.07;82.07;3
BZ;1;20240213;062000;82.08;82.09;82.07;82.08;22
BZ;1;20240213;062100;82.09;82.1;82.09;82.1;8
BZ;1;20240213;062200;82.08;82.08;82.08;82.08;1
BZ;1;20240213;062300;82.08;82.08;82.08;82.08;1
BZ;1;20240213;062600;82.08;82.08;82.07;82.07;6
